ID,GroupLabel,Statistic,Test_Phase,BR_Day,Unit,Value
363,Exercise,MEAN,IN_TEST,71,CD4+/CD45RO+ (%),56
364,Exercise,MEAN,POST_TEST,5,CD4+/CD45RO+ (%),56
365,Exercise,SERR,PRE_TEST,10,CD4+/CD45RO+ (%),4.2
366,Exercise,SERR,IN_TEST,28,CD4+/CD45RO+ (%),3.8
367,Exercise,SERR,IN_TEST,71,CD4+/CD45RO+ (%),3.8
368,Exercise,SERR,POST_TEST,5,CD4+/CD45RO+ (%),3.6
369,Exercise,TTEST,PRE_TEST,10,CD4+/CD45RO+ (%),NA
370,Exercise,TTEST,IN_TEST,28,CD4+/CD45RO+ (%),0.372
371,Exercise,TTEST,IN_TEST,71,CD4+/CD45RO+ (%),0.500
372,Exercise,TTEST,POST_TEST,5,CD4+/CD45RO+ (%),0.762
373,Exercise,MEAN,PRE_TEST,10,CD8+/CD45RO+ (%),36
374,Exercise,MEAN,IN_TEST,28,CD8+/CD45RO+ (%),36
375,Exercise,MEAN,IN_TEST,71,CD8+/CD45RO+ (%),38
376,Exercise,MEAN,POST_TEST,5,CD8+/CD45RO+ (%),36
377,Exercise,SERR,PRE_TEST,10,CD8+/CD45RO+ (%),2.4
378,Exercise,SERR,IN_TEST,28,CD8+/CD45RO+ (%),3.1
379,Exercise,SERR,IN_TEST,71,CD8+/CD45RO+ (%),2.9
380,Exercise,SERR,POST_TEST,5,CD8+/CD45RO+ (%),3.2
381,Exercise,TTEST,PRE_TEST,10,CD8+/CD45RO+ (%),NA
382,Exercise,TTEST,IN_TEST,28,CD8+/CD45RO+ (%),0.894
383,Exercise,TTEST,IN_TEST,71,CD8+/CD45RO+ (%),0.050
384,Exercise,TTEST,POST_TEST,5,CD8+/CD45RO+ (%),0.856
385,Exercise,MEAN,PRE_TEST,10,CD4+/CD69+ (%),2
386,Exercise,MEAN,IN_TEST,28,CD4+/CD69+ (%),2
387,Exercise,MEAN,IN_TEST,71,CD4+/CD69+ (%),2
388,Exercise,MEAN,POST_TEST,5,CD4+/CD69+ (%),3
389,Exercise,SERR,PRE_TEST,10,CD4+/CD69+ (%),0.3
390,Exercise,SERR,IN_TEST,28,CD4+/CD69+ (%),0.5
391,Exercise,SERR,IN_TEST,71,CD4+/CD69+ (%),0.9
392,Exercise,SERR,POST_TEST,5,CD4+/CD69+ (%),1.2
393,Exercise,TTEST,PRE_TEST,10,CD4+/CD69+ (%),NA
394,Exercise,TTEST,IN_TEST,28,CD4+/CD69+ (%),0.062
395,Exercise,TTEST,IN_TEST,71,CD4+/CD69+ (%),0.383
396,Exercise,TTEST,POST_TEST,5,CD4+/CD69+ (%),0.260
397,Exercise,MEAN,PRE_TEST,10,CD8+/CD69+ (%),4
398,Exercise,MEAN,IN_TEST,28,CD8+/CD69+ (%),4
399,Exercise,MEAN,IN_TEST,71,CD8+/CD69+ (%),2
400,Exercise,MEAN,POST_TEST,5,CD8+/CD69+ (%),3
401,Exercise,SERR,PRE_TEST,10,CD8+/CD69+ (%),1.2
402,Exercise,SERR,IN_TEST,28,CD8+/CD69+ (%),1.0
403,Exercise,SERR,IN_TEST,71,CD8+/CD69+ (%),0.5
404,Exercise,SERR,POST_TEST,5,CD8+/CD69+ (%),0.6
405,Exercise,TTEST,PRE_TEST,10,CD8+/CD69+ (%),NA
406,Exercise,TTEST,IN_TEST,28,CD8+/CD69+ (%),0.781
407,Exercise,TTEST,IN_TEST,71,CD8+/CD69+ (%),0.217
408,Exercise,TTEST,POST_TEST,5,CD8+/CD69+ (%),0.273
409,Exercise,MEAN,PRE_TEST,10,CD4+/HLA-DR+ (%),4
410,Exercise,MEAN,IN_TEST,28,CD4+/HLA-DR+ (%),5
411,Exercise,MEAN,IN_TEST,71,CD4+/HLA-DR+ (%),4
412,Exercise,MEAN,POST_TEST,5,CD4+/HLA-DR+ (%),5
413,Exercise,SERR,PRE_TEST,10,CD4+/HLA-DR+ (%),1.2
414,Exercise,SERR,IN_TEST,28,CD4+/HLA-DR+ (%),1.6
415,Exercise,SERR,IN_TEST,71,CD4+/HLA-DR+ (%),1.3
416,Exercise,SERR,POST_TEST,5,CD4+/HLA-DR+ (%),1.4
417,Exercise,TTEST,PRE_TEST,10,CD4+/HLA-DR+ (%),NA
418,Exercise,TTEST,IN_TEST,28,CD4+/HLA-DR+ (%),0.089
419,Exercise,TTEST,IN_TEST,71,CD4+/HLA-DR+ (%),0.606
420,Exercise,TTEST,POST_TEST,5,CD4+/HLA-DR+ (%),0.284
421,Exercise,MEAN,PRE_TEST,10,CD8+/HLA-DR+ (%),6
422,Exercise,MEAN,IN_TEST,28,CD8+/HLA-DR+ (%),6
423,Exercise,MEAN,IN_TEST,71,CD8+/HLA-DR+ (%),4
424,Exercise,MEAN,POST_TEST,5,CD8+/HLA-DR+ (%),4
425,Exercise,SERR,PRE_TEST,10,CD8+/HLA-DR+ (%),2.4
426,Exercise,SERR,IN_TEST,28,CD8+/HLA-DR+ (%),1.9
427,Exercise,SERR,IN_TEST,71,CD8+/HLA-DR+ (%),1.1
428,Exercise,SERR,POST_TEST,5,CD8+/HLA-DR+ (%),1.4
429,Exercise,TTEST,PRE_TEST,10,CD8+/HLA-DR+ (%),NA
430,Exercise,TTEST,IN_TEST,28,CD8+/HLA-DR+ (%),0.880
431,Exercise,TTEST,IN_TEST,71,CD8+/HLA-DR+ (%),0.176
432,Exercise,TTEST,POST_TEST,5,CD8+/HLA-DR+ (%),0.267
433,Exercise,MEAN,PRE_TEST,10,CD4+/IL-2+ (IFNg-) (%),43
434,Exercise,MEAN,IN_TEST,28,CD4+/IL-2+ (IFNg-) (%),49
435,Exercise,MEAN,IN_TEST,71,CD4+/IL-2+ (IFNg-) (%),47
436,Exercise,MEAN,POST_TEST,5,CD4+/IL-2+ (IFNg-) (%),50
437,Exercise,SERR,PRE_TEST,10,CD4+/IL-2+ (IFNg-) (%),2.2
438,Exercise,SERR,IN_TEST,28,CD4+/IL-2+ (IFNg-) (%),1.5
439,Exercise,SERR,IN_TEST,71,CD4+/IL-2+ (IFNg-) (%),3.5
440,Exercise,SERR,POST_TEST,5,CD4+/IL-2+ (IFNg-) (%),2.5
441,Exercise,TTEST,PRE_TEST,10,CD4+/IL-2+ (IFNg-) (%),NA
442,Exercise,TTEST,IN_TEST,28,CD4+/IL-2+ (IFNg-) (%),0.018
443,Exercise,TTEST,IN_TEST,71,CD4+/IL-2+ (IFNg-) (%),0.218
444,Exercise,TTEST,POST_TEST,5,CD4+/IL-2+ (IFNg-) (%),0.032
445,Exercise,MEAN,PRE_TEST,10,CD4+/IFNg+ (%),30
446,Exercise,MEAN,IN_TEST,28,CD4+/IFNg+ (%),26
447,Exercise,MEAN,IN_TEST,71,CD4+/IFNg+ (%),28
448,Exercise,MEAN,POST_TEST,5,CD4+/IFNg+ (%),27
449,Exercise,SERR,PRE_TEST,10,CD4+/IFNg+ (%),3.7
450,Exercise,SERR,IN_TEST,28,CD4+/IFNg+ (%),3.1
451,Exercise,SERR,IN_TEST,71,CD4+/IFNg+ (%),3.3
452,Exercise,SERR,POST_TEST,5,CD4+/IFNg+ (%),3.0
453,Exercise,TTEST,PRE_TEST,10,CD4+/IFNg+ (%),NA
454,Exercise,TTEST,IN_TEST,28,CD4+/IFNg+ (%),0.063
455,Exercise,TTEST,IN_TEST,71,CD4+/IFNg+ (%),0.605
456,Exercise,TTEST,POST_TEST,5,CD4+/IFNg+ (%),0.139
457,Exercise,MEAN,PRE_TEST,10,CD8+/IFNg+ (IL-2-) (%),35
458,Exercise,MEAN,IN_TEST,28,CD8+/IFNg+ (IL-2-) (%),35
459,Exercise,MEAN,IN_TEST,71,CD8+/IFNg+ (IL-2-) (%),39
460,Exercise,MEAN,POST_TEST,5,CD8+/IFNg+ (IL-2-) (%),35
461,Exercise,SERR,PRE_TEST,10,CD8+/IFNg+ (IL-2-) (%),5.0
462,Exercise,SERR,IN_TEST,28,CD8+/IFNg+ (IL-2-) (%),4.3
463,Exercise,SERR,IN_TEST,71,CD8+/IFNg+ (IL-2-) (%),4.1
464,Exercise,SERR,POST_TEST,5,CD8+/IFNg+ (IL-2-) (%),4.9
465,Exercise,TTEST,PRE_TEST,10,CD8+/IFNg+ (IL-2-) (%),NA
466,Exercise,TTEST,IN_TEST,28,CD8+/IFNg+ (IL-2-) (%),0.913
467,Exercise,TTEST,IN_TEST,71,CD8+/IFNg+ (IL-2-) (%),0.213
468,Exercise,TTEST,POST_TEST,5,CD8+/IFNg+ (IL-2-) (%),0.963
469,Exercise,MEAN,PRE_TEST,10,CD8+/IL-2+ (%),14
470,Exercise,MEAN,IN_TEST,28,CD8+/IL-2+ (%),16
471,Exercise,MEAN,IN_TEST,71,CD8+/IL-2+ (%),15
472,Exercise,MEAN,POST_TEST,5,CD8+/IL-2+ (%),17
473,Exercise,SERR,PRE_TEST,10,CD8+/IL-2+ (%),1.3
474,Exercise,SERR,IN_TEST,28,CD8+/IL-2+ (%),1.0
475,Exercise,SERR,IN_TEST,71,CD8+/IL-2+ (%),1.8
476,Exercise,SERR,POST_TEST,5,CD8+/IL-2+ (%),1.5
477,Exercise,TTEST,PRE_TEST,10,CD8+/IL-2+ (%),NA
478,Exercise,TTEST,IN_TEST,28,CD8+/IL-2+ (%),0.124
479,Exercise,TTEST,IN_TEST,71,CD8+/IL-2+ (%),0.466
480,Exercise,TTEST,POST_TEST,5,CD8+/IL-2+ (%),0.054
481,Exercise,MEAN,PRE_TEST,10,CD4+/CD69+/CD25+ (%) A+B-24hr,11
482,Exercise,MEAN,IN_TEST,28,CD4+/CD69+/CD25+ (%) A+B-24hr,11
483,Exercise,MEAN,IN_TEST,71,CD4+/CD69+/CD25+ (%) A+B-24hr,11
484,Exercise,MEAN,POST_TEST,5,CD4+/CD69+/CD25+ (%) A+B-24hr,10
485,Exercise,SERR,PRE_TEST,10,CD4+/CD69+/CD25+ (%) A+B-24hr,1.7
486,Exercise,SERR,IN_TEST,28,CD4+/CD69+/CD25+ (%) A+B-24hr,1.5
487,Exercise,SERR,IN_TEST,71,CD4+/CD69+/CD25+ (%) A+B-24hr,1.2
488,Exercise,SERR,POST_TEST,5,CD4+/CD69+/CD25+ (%) A+B-24hr,1.6
489,Exercise,TTEST,PRE_TEST,10,CD4+/CD69+/CD25+ (%) A+B-24hr,NA
490,Exercise,TTEST,IN_TEST,28,CD4+/CD69+/CD25+ (%) A+B-24hr,0.906
491,Exercise,TTEST,IN_TEST,71,CD4+/CD69+/CD25+ (%) A+B-24hr,0.735
492,Exercise,TTEST,POST_TEST,5,CD4+/CD69+/CD25+ (%) A+B-24hr,0.190
493,Exercise,MEAN,PRE_TEST,10,CD8+/CD69+/CD25+ (%) A+B-24hr,4
494,Exercise,MEAN,IN_TEST,28,CD8+/CD69+/CD25+ (%) A+B-24hr,5
495,Exercise,MEAN,IN_TEST,71,CD8+/CD69+/CD25+ (%) A+B-24hr,4
496,Exercise,MEAN,POST_TEST,5,CD8+/CD69+/CD25+ (%) A+B-24hr,5
497,Exercise,SERR,PRE_TEST,10,CD8+/CD69+/CD25+ (%) A+B-24hr,0.6
498,Exercise,SERR,IN_TEST,28,CD8+/CD69+/CD25+ (%) A+B-24hr,0.6
499,Exercise,SERR,IN_TEST,71,CD8+/CD69+/CD25+ (%) A+B-24hr,0.6
500,Exercise,SERR,POST_TEST,5,CD8+/CD69+/CD25+ (%) A+B-24hr,1.0
501,Exercise,TTEST,PRE_TEST,10,CD8+/CD69+/CD25+ (%) A+B-24hr,NA
502,Exercise,TTEST,IN_TEST,28,CD8+/CD69+/CD25+ (%) A+B-24hr,0.173
503,Exercise,TTEST,IN_TEST,71,CD8+/CD69+/CD25+ (%) A+B-24hr,0.805
504,Exercise,TTEST,POST_TEST,5,CD8+/CD69+/CD25+ (%) A+B-24hr,0.316
505,Exercise,MEAN,PRE_TEST,10,CD4+/CD69+/CD25+ (%) 3/28 24hr,54
506,Exercise,MEAN,IN_TEST,28,CD4+/CD69+/CD25+ (%) 3/28 24hr,61
507,Exercise,MEAN,IN_TEST,71,CD4+/CD69+/CD25+ (%) 3/28 24hr,60
508,Exercise,MEAN,POST_TEST,5,CD4+/CD69+/CD25+ (%) 3/28 24hr,57
509,Exercise,SERR,PRE_TEST,10,CD4+/CD69+/CD25+ (%) 3/28 24hr,4.0
510,Exercise,SERR,IN_TEST,28,CD4+/CD69+/CD25+ (%) 3/28 24hr,1.4
511,Exercise,SERR,IN_TEST,71,CD4+/CD69+/CD25+ (%) 3/28 24hr,3.0
512,Exercise,SERR,POST_TEST,5,CD4+/CD69+/CD25+ (%) 3/28 24hr,4.7
513,Exercise,TTEST,PRE_TEST,10,CD4+/CD69+/CD25+ (%) 3/28 24hr,NA
514,Exercise,TTEST,IN_TEST,28,CD4+/CD69+/CD25+ (%) 3/28 24hr,0.130
515,Exercise,TTEST,IN_TEST,71,CD4+/CD69+/CD25+ (%) 3/28 24hr,0.236
516,Exercise,TTEST,POST_TEST,5,CD4+/CD69+/CD25+ (%) 3/28 24hr,0.629
517,Exercise,MEAN,PRE_TEST,10,CD8+/CD69+/CD25+ (%) 3/28/24hr,35
518,Exercise,MEAN,IN_TEST,28,CD8+/CD69+/CD25+ (%) 3/28/24hr,42
519,Exercise,MEAN,IN_TEST,71,CD8+/CD69+/CD25+ (%) 3/28/24hr,44
520,Exercise,MEAN,POST_TEST,5,CD8+/CD69+/CD25+ (%) 3/28/24hr,37
521,Exercise,SERR,PRE_TEST,10,CD8+/CD69+/CD25+ (%) 3/28/24hr,2.2
522,Exercise,SERR,IN_TEST,28,CD8+/CD69+/CD25+ (%) 3/28/24hr,5.2
523,Exercise,SERR,IN_TEST,71,CD8+/CD69+/CD25+ (%) 3/28/24hr,4.3
524,Exercise,SERR,POST_TEST,5,CD8+/CD69+/CD25+ (%) 3/28/24hr,5.1
525,Exercise,TTEST,PRE_TEST,10,CD8+/CD69+/CD25+ (%) 3/28/24hr,NA
526,Exercise,TTEST,IN_TEST,28,CD8+/CD69+/CD25+ (%) 3/28/24hr,0.336
527,Exercise,TTEST,IN_TEST,71,CD8+/CD69+/CD25+ (%) 3/28/24hr,0.150
528,Exercise,TTEST,POST_TEST,5,CD8+/CD69+/CD25+ (%) 3/28/24hr,0.808
529,Exercise + Testosterone,MEAN,PRE_TEST,10,GRANULOCYTES (%),54
530,Exercise + Testosterone,MEAN,IN_TEST,28,GRANULOCYTES (%),56
531,Exercise + Testosterone,MEAN,IN_TEST,71,GRANULOCYTES (%),57
532,Exercise + Testosterone,MEAN,POST_TEST,5,GRANULOCYTES (%),55
533,Exercise + Testosterone,SERR,PRE_TEST,10,GRANULOCYTES (%),2.2
534,Exercise + Testosterone,SERR,IN_TEST,28,GRANULOCYTES (%),2.8
535,Exercise + Testosterone,SERR,IN_TEST,71,GRANULOCYTES (%),1.3
536,Exercise + Testosterone,SERR,POST_TEST,5,GRANULOCYTES (%),2.8
537,Exercise + Testosterone,TTEST,PRE_TEST,10,GRANULOCYTES (%),NA
538,Exercise + Testosterone,TTEST,IN_TEST,28,GRANULOCYTES (%),0.273
539,Exercise + Testosterone,TTEST,IN_TEST,71,GRANULOCYTES (%),0.070
540,Exercise + Testosterone,TTEST,POST_TEST,5,GRANULOCYTES (%),0.590
541,Exercise + Testosterone,MEAN,PRE_TEST,10,LYMPHOCYTES (%),40
542,Exercise + Testosterone,MEAN,IN_TEST,28,LYMPHOCYTES (%),37
543,Exercise + Testosterone,MEAN,IN_TEST,71,LYMPHOCYTES (%),35
544,Exercise + Testosterone,MEAN,POST_TEST,5,LYMPHOCYTES (%),38
545,Exercise + Testosterone,SERR,PRE_TEST,10,LYMPHOCYTES (%),1.7
546,Exercise + Testosterone,SERR,IN_TEST,28,LYMPHOCYTES (%),2.1
547,Exercise + Testosterone,SERR,IN_TEST,71,LYMPHOCYTES (%),1.1
548,Exercise + Testosterone,SERR,POST_TEST,5,LYMPHOCYTES (%),2.6
549,Exercise + Testosterone,TTEST,PRE_TEST,10,LYMPHOCYTES (%),NA
550,Exercise + Testosterone,TTEST,IN_TEST,28,LYMPHOCYTES (%),0.103
551,Exercise + Testosterone,TTEST,IN_TEST,71,LYMPHOCYTES (%),0.036
552,Exercise + Testosterone,TTEST,POST_TEST,5,LYMPHOCYTES (%),0.473
553,Exercise + Testosterone,MEAN,PRE_TEST,10,MONOCYTES (%),5
554,Exercise + Testosterone,MEAN,IN_TEST,28,MONOCYTES (%),4
555,Exercise + Testosterone,MEAN,IN_TEST,71,MONOCYTES (%),5
556,Exercise + Testosterone,MEAN,POST_TEST,5,MONOCYTES (%),4
557,Exercise + Testosterone,SERR,PRE_TEST,10,MONOCYTES (%),0.6
558,Exercise + Testosterone,SERR,IN_TEST,28,MONOCYTES (%),0.9
559,Exercise + Testosterone,SERR,IN_TEST,71,MONOCYTES (%),0.7
560,Exercise + Testosterone,SERR,POST_TEST,5,MONOCYTES (%),0.5
561,Exercise + Testosterone,TTEST,PRE_TEST,10,MONOCYTES (%),NA
562,Exercise + Testosterone,TTEST,IN_TEST,28,MONOCYTES (%),0.717
563,Exercise + Testosterone,TTEST,IN_TEST,71,MONOCYTES (%),0.844
564,Exercise + Testosterone,TTEST,POST_TEST,5,MONOCYTES (%),0.718
565,Exercise + Testosterone,MEAN,PRE_TEST,10,CD3+ (%),69
566,Exercise + Testosterone,MEAN,IN_TEST,28,CD3+ (%),69
567,Exercise + Testosterone,MEAN,IN_TEST,71,CD3+ (%),69
568,Exercise + Testosterone,MEAN,POST_TEST,5,CD3+ (%),69
569,Exercise + Testosterone,SERR,PRE_TEST,10,CD3+ (%),2.3
570,Exercise + Testosterone,SERR,IN_TEST,28,CD3+ (%),3.2
571,Exercise + Testosterone,SERR,IN_TEST,71,CD3+ (%),3.0
572,Exercise + Testosterone,SERR,POST_TEST,5,CD3+ (%),3.6
573,Exercise + Testosterone,TTEST,PRE_TEST,10,CD3+ (%),NA
574,Exercise + Testosterone,TTEST,IN_TEST,28,CD3+ (%),0.903
575,Exercise + Testosterone,TTEST,IN_TEST,71,CD3+ (%),0.926
576,Exercise + Testosterone,TTEST,POST_TEST,5,CD3+ (%),0.840
577,Exercise + Testosterone,MEAN,PRE_TEST,10,CD19+ (%),11
578,Exercise + Testosterone,MEAN,IN_TEST,28,CD19+ (%),11
579,Exercise + Testosterone,MEAN,IN_TEST,71,CD19+ (%),10
580,Exercise + Testosterone,MEAN,POST_TEST,5,CD19+ (%),10
581,Exercise + Testosterone,SERR,PRE_TEST,10,CD19+ (%),2.3
582,Exercise + Testosterone,SERR,IN_TEST,28,CD19+ (%),2.4
583,Exercise + Testosterone,SERR,IN_TEST,71,CD19+ (%),2.2
584,Exercise + Testosterone,SERR,POST_TEST,5,CD19+ (%),2.4
585,Exercise + Testosterone,TTEST,PRE_TEST,10,CD19+ (%),NA
586,Exercise + Testosterone,TTEST,IN_TEST,28,CD19+ (%),0.755
587,Exercise + Testosterone,TTEST,IN_TEST,71,CD19+ (%),0.207
588,Exercise + Testosterone,TTEST,POST_TEST,5,CD19+ (%),0.016
589,Exercise + Testosterone,MEAN,PRE_TEST,10,CD16/56+ (%),11
590,Exercise + Testosterone,MEAN,IN_TEST,28,CD16/56+ (%),12
591,Exercise + Testosterone,MEAN,IN_TEST,71,CD16/56+ (%),13
592,Exercise + Testosterone,MEAN,POST_TEST,5,CD16/56+ (%),12
593,Exercise + Testosterone,SERR,PRE_TEST,10,CD16/56+ (%),1.4
594,Exercise + Testosterone,SERR,IN_TEST,28,CD16/56+ (%),2.1
595,Exercise + Testosterone,SERR,IN_TEST,71,CD16/56+ (%),1.9
596,Exercise + Testosterone,SERR,POST_TEST,5,CD16/56+ (%),1.6
597,Exercise + Testosterone,TTEST,PRE_TEST,10,CD16/56+ (%),NA
598,Exercise + Testosterone,TTEST,IN_TEST,28,CD16/56+ (%),0.432
599,Exercise + Testosterone,TTEST,IN_TEST,71,CD16/56+ (%),0.319
600,Exercise + Testosterone,TTEST,POST_TEST,5,CD16/56+ (%),0.629
601,Exercise + Testosterone,MEAN,PRE_TEST,10,CD3+/CD4+ (%),58
602,Exercise + Testosterone,MEAN,IN_TEST,28,CD3+/CD4+ (%),56
603,Exercise + Testosterone,MEAN,IN_TEST,71,CD3+/CD4+ (%),56
604,Exercise + Testosterone,MEAN,POST_TEST,5,CD3+/CD4+ (%),58
605,Exercise + Testosterone,SERR,PRE_TEST,10,CD3+/CD4+ (%),2.9
606,Exercise + Testosterone,SERR,IN_TEST,28,CD3+/CD4+ (%),3.8
607,Exercise + Testosterone,SERR,IN_TEST,71,CD3+/CD4+ (%),3.0
608,Exercise + Testosterone,SERR,POST_TEST,5,CD3+/CD4+ (%),3.1
609,Exercise + Testosterone,TTEST,PRE_TEST,10,CD3+/CD4+ (%),NA
610,Exercise + Testosterone,TTEST,IN_TEST,28,CD3+/CD4+ (%),0.175
611,Exercise + Testosterone,TTEST,IN_TEST,71,CD3+/CD4+ (%),0.030
612,Exercise + Testosterone,TTEST,POST_TEST,5,CD3+/CD4+ (%),0.841
613,Exercise + Testosterone,MEAN,PRE_TEST,10,CD3+/CD8+ (%),34
614,Exercise + Testosterone,MEAN,IN_TEST,28,CD3+/CD8+ (%),35
615,Exercise + Testosterone,MEAN,IN_TEST,71,CD3+/CD8+ (%),35
616,Exercise + Testosterone,MEAN,POST_TEST,5,CD3+/CD8+ (%),35
617,Exercise + Testosterone,SERR,PRE_TEST,10,CD3+/CD8+ (%),1.9
618,Exercise + Testosterone,SERR,IN_TEST,28,CD3+/CD8+ (%),2.3
619,Exercise + Testosterone,SERR,IN_TEST,71,CD3+/CD8+ (%),2.1
620,Exercise + Testosterone,SERR,POST_TEST,5,CD3+/CD8+ (%),2.0
621,Exercise + Testosterone,TTEST,PRE_TEST,10,CD3+/CD8+ (%),NA
622,Exercise + Testosterone,TTEST,IN_TEST,28,CD3+/CD8+ (%),0.410
623,Exercise + Testosterone,TTEST,IN_TEST,71,CD3+/CD8+ (%),0.460
624,Exercise + Testosterone,TTEST,POST_TEST,5,CD3+/CD8+ (%),0.612
625,Exercise + Testosterone,MEAN,PRE_TEST,10,CD4+/CD45RO+ (%),51
626,Exercise + Testosterone,MEAN,IN_TEST,28,CD4+/CD45RO+ (%),52
627,Exercise + Testosterone,MEAN,IN_TEST,71,CD4+/CD45RO+ (%),53
628,Exercise + Testosterone,MEAN,POST_TEST,5,CD4+/CD45RO+ (%),50
629,Exercise + Testosterone,SERR,PRE_TEST,10,CD4+/CD45RO+ (%),3.3
630,Exercise + Testosterone,SERR,IN_TEST,28,CD4+/CD45RO+ (%),2.7
631,Exercise + Testosterone,SERR,IN_TEST,71,CD4+/CD45RO+ (%),3.1
632,Exercise + Testosterone,SERR,POST_TEST,5,CD4+/CD45RO+ (%),3.1
633,Exercise + Testosterone,TTEST,PRE_TEST,10,CD4+/CD45RO+ (%),NA
634,Exercise + Testosterone,TTEST,IN_TEST,28,CD4+/CD45RO+ (%),0.508
635,Exercise + Testosterone,TTEST,IN_TEST,71,CD4+/CD45RO+ (%),0.059
636,Exercise + Testosterone,TTEST,POST_TEST,5,CD4+/CD45RO+ (%),0.471
637,Exercise + Testosterone,MEAN,PRE_TEST,10,CD8+/CD45RO+ (%),35
638,Exercise + Testosterone,MEAN,IN_TEST,28,CD8+/CD45RO+ (%),35
639,Exercise + Testosterone,MEAN,IN_TEST,71,CD8+/CD45RO+ (%),37
640,Exercise + Testosterone,MEAN,POST_TEST,5,CD8+/CD45RO+ (%),34
641,Exercise + Testosterone,SERR,PRE_TEST,10,CD8+/CD45RO+ (%),3.1
642,Exercise + Testosterone,SERR,IN_TEST,28,CD8+/CD45RO+ (%),3.0
643,Exercise + Testosterone,SERR,IN_TEST,71,CD8+/CD45RO+ (%),2.5
644,Exercise + Testosterone,SERR,POST_TEST,5,CD8+/CD45RO+ (%),3.1
645,Exercise + Testosterone,TTEST,PRE_TEST,10,CD8+/CD45RO+ (%),NA
646,Exercise + Testosterone,TTEST,IN_TEST,28,CD8+/CD45RO+ (%),0.577
647,Exercise + Testosterone,TTEST,IN_TEST,71,CD8+/CD45RO+ (%),0.219
648,Exercise + Testosterone,TTEST,POST_TEST,5,CD8+/CD45RO+ (%),0.376
649,Exercise + Testosterone,MEAN,PRE_TEST,10,CD4+/CD69+ (%),3
650,Exercise + Testosterone,MEAN,IN_TEST,28,CD4+/CD69+ (%),3
651,Exercise + Testosterone,MEAN,IN_TEST,71,CD4+/CD69+ (%),2
652,Exercise + Testosterone,MEAN,POST_TEST,5,CD4+/CD69+ (%),3
653,Exercise + Testosterone,SERR,PRE_TEST,10,CD4+/CD69+ (%),0.9
654,Exercise + Testosterone,SERR,IN_TEST,28,CD4+/CD69+ (%),0.4
655,Exercise + Testosterone,SERR,IN_TEST,71,CD4+/CD69+ (%),0.3
656,Exercise + Testosterone,SERR,POST_TEST,5,CD4+/CD69+ (%),0.4
657,Exercise + Testosterone,TTEST,PRE_TEST,10,CD4+/CD69+ (%),NA
658,Exercise + Testosterone,TTEST,IN_TEST,28,CD4+/CD69+ (%),0.727
659,Exercise + Testosterone,TTEST,IN_TEST,71,CD4+/CD69+ (%),0.484
660,Exercise + Testosterone,TTEST,POST_TEST,5,CD4+/CD69+ (%),0.956
661,Exercise + Testosterone,MEAN,PRE_TEST,10,CD8+/CD69+ (%),8
662,Exercise + Testosterone,MEAN,IN_TEST,28,CD8+/CD69+ (%),4
663,Exercise + Testosterone,MEAN,IN_TEST,71,CD8+/CD69+ (%),3
664,Exercise + Testosterone,MEAN,POST_TEST,5,CD8+/CD69+ (%),4
665,Exercise + Testosterone,SERR,PRE_TEST,10,CD8+/CD69+ (%),3.4
666,Exercise + Testosterone,SERR,IN_TEST,28,CD8+/CD69+ (%),0.9
667,Exercise + Testosterone,SERR,IN_TEST,71,CD8+/CD69+ (%),0.5
668,Exercise + Testosterone,SERR,POST_TEST,5,CD8+/CD69+ (%),1.0
669,Exercise + Testosterone,TTEST,PRE_TEST,10,CD8+/CD69+ (%),NA
670,Exercise + Testosterone,TTEST,IN_TEST,28,CD8+/CD69+ (%),0.317
671,Exercise + Testosterone,TTEST,IN_TEST,71,CD8+/CD69+ (%),0.267
672,Exercise + Testosterone,TTEST,POST_TEST,5,CD8+/CD69+ (%),0.294
673,Exercise + Testosterone,MEAN,PRE_TEST,10,CD4+/HLA-DR+ (%),5
674,Exercise + Testosterone,MEAN,IN_TEST,28,CD4+/HLA-DR+ (%),7
675,Exercise + Testosterone,MEAN,IN_TEST,71,CD4+/HLA-DR+ (%),8
676,Exercise + Testosterone,MEAN,POST_TEST,5,CD4+/HLA-DR+ (%),9
677,Exercise + Testosterone,SERR,PRE_TEST,10,CD4+/HLA-DR+ (%),1.2
678,Exercise + Testosterone,SERR,IN_TEST,28,CD4+/HLA-DR+ (%),2.6
679,Exercise + Testosterone,SERR,IN_TEST,71,CD4+/HLA-DR+ (%),2.7
680,Exercise + Testosterone,SERR,POST_TEST,5,CD4+/HLA-DR+ (%),4.0
681,Exercise + Testosterone,TTEST,PRE_TEST,10,CD4+/HLA-DR+ (%),NA
682,Exercise + Testosterone,TTEST,IN_TEST,28,CD4+/HLA-DR+ (%),0.480
683,Exercise + Testosterone,TTEST,IN_TEST,71,CD4+/HLA-DR+ (%),0.324
684,Exercise + Testosterone,TTEST,POST_TEST,5,CD4+/HLA-DR+ (%),0.449
685,Exercise + Testosterone,MEAN,PRE_TEST,10,CD8+/HLA-DR+ (%),7
686,Exercise + Testosterone,MEAN,IN_TEST,28,CD8+/HLA-DR+ (%),6
687,Exercise + Testosterone,MEAN,IN_TEST,71,CD8+/HLA-DR+ (%),9
688,Exercise + Testosterone,MEAN,POST_TEST,5,CD8+/HLA-DR+ (%),6
